road,id,model_type,name,lat,lon,length
N1,1001265,bridge,bridge 740,20.95225,92.2566111,0.12
N1,1001266,link,link 526,20.9521667,92.2566944,0.016
N1,1001267,bridge,bridge 741,20.94957125079681,92.25817740896414,0.335
N1,1001268,bridge,bridge 742,20.9482774,92.2589167,0.167
N1,1001269,bridge,bridge 743,20.9481386,92.2593056,0.046
N1,1001270,bridge,bridge 744,20.9459163,92.2603333,0.33
N1,1001271,link,link 527,20.9445552,92.2603333,0.187
N1,1001272,bridge,bridge 745,20.9436941,92.2603056,0.099
N1,1001273,bridge,bridge 746,20.9373886,92.2623333,0.752
N1,1001274,bridge,bridge 747,20.9371108,92.2624722,0.04
N1,1001275,link,link 528,20.9361663,92.2628611,0.109
N1,1001276,bridge,bridge 748,20.9361108,92.2628611,0.012
N1,1001277,bridge,bridge 749,20.9346663,92.2631667,0.166
N1,1001278,bridge,bridge 750,20.934333,92.26325,0.04
N1,1001279,bridge,bridge 751,20.9330549,92.2635,0.15
N1,1001280,bridge,bridge 752,20.929666,92.2641111,0.388
N1,1001281,bridge,bridge 753,20.9293327,92.2641389,0.037
N1,1001282,link,link 529,20.9270827,92.2644444,0.256
N1,1001283,bridge,bridge 754,20.9238882,92.2653889,0.381
N1,1001284,bridge,bridge 755,20.9234993,92.2656111,0.051
N1,1001285,bridge,bridge 756,20.9195827,92.268416,0.53
N1,1001286,bridge,bridge 757,20.9194993,92.2684716,0.017
N1,1001287,bridge,bridge 758,20.9189993,92.2686382,0.055
N1,1001288,link,link 530,20.9187771,92.2687771,0.03
N1,1001289,bridge,bridge 759,20.9176382,92.2692493,0.14
N1,1001290,bridge,bridge 760,20.9157222,92.2704993,0.255
N1,1001291,bridge,bridge 761,20.9154167,92.2706938,0.038
N1,1001292,bridge,bridge 762,20.9136389,92.2718604,0.232
N1,1001293,bridge,bridge 763,20.9132778,92.2721938,0.083
N1,1001294,bridge,bridge 764,20.9123889,92.2729716,0.118
N1,1001295,link,link 531,20.9122222,92.2729438,0.026
N1,1001296,bridge,bridge 765,20.9088889,92.275166,0.446
N1,1001297,bridge,bridge 766,20.9085556,92.2753604,0.047
N1,1001298,bridge,bridge 767,20.90675,92.2764993,0.238
N1,1001299,bridge,bridge 768,20.9059444,92.2771104,0.123
N1,1001300,link,link 532,20.9048333,92.277916,0.146
N1,1001301,bridge,bridge 769,20.9047222,92.2779716,0.017
N1,1001302,bridge,bridge 770,20.9033333,92.2789438,0.194
N1,1001303,bridge,bridge 771,20.9027222,92.279416,0.103
N1,1001304,bridge,bridge 772,20.9003333,92.2807216,0.311
N1,1001305,bridge,bridge 773,20.9001111,92.2809716,0.036
N1,1001306,bridge,bridge 774,20.8994441,92.2817216,0.113
N1,1001307,bridge,bridge 775,20.8984719,92.2828604,0.164
N1,1001308,bridge,bridge 776,20.8982219,92.283166,0.047
N1,1001309,link,link 533,20.8981108,92.2832493,0.015
N1,1001310,bridge,bridge 777,20.8980274,92.283333,0.022
N1,1001311,bridge,bridge 778,20.8977497,92.2836941,0.053
N1,1001312,bridge,bridge 779,20.8969163,92.2854441,0.21
N1,1001313,bridge,bridge 780,20.8967774,92.2857219,0.033
N1,1001314,bridge,bridge 781,20.8965552,92.286083,0.047
N1,1001315,bridge,bridge 782,20.8953608,92.2877219,0.219
N1,1001316,bridge,bridge 783,20.8948052,92.2881941,0.084
N1,1001317,bridge,bridge 784,20.894083,92.2887774,0.103
N1,1001318,bridge,bridge 785,20.8939441,92.2889163,0.024
N1,1001319,bridge,bridge 786,20.8932774,92.2896386,0.105
N1,1001320,bridge,bridge 787,20.8927774,92.2901386,0.079
N1,1001321,link,link 534,20.8926386,92.2902774,0.021
N1,1001322,bridge,bridge 788,20.8919163,92.2916663,0.171
N1,1001323,bridge,bridge 789,20.8918886,92.2918052,0.02
N1,1001324,link,link 535,20.891833,92.2923052,0.056
N1,1001325,bridge,bridge 790,20.8889163,92.2982497,0.742
N1,1001326,bridge,bridge 791,20.888833,92.2983886,0.015
N1,1001327,link,link 536,20.8869441,92.2996386,0.258
N1,1001328,bridge,bridge 792,20.8858608,92.2991941,0.133
N1,1001329,bridge,bridge 793,20.8820271,92.2977774,0.474
N1,1001330,link,link 537,20.8782216,92.2977774,0.431
N1,1001331,bridge,bridge 794,20.8768604,92.2978886,0.163
N1,1001332,bridge,bridge 795,20.8764993,92.2978886,0.043
N1,1001333,link,link 538,20.8692771,92.2981386,0.794
N1,1001334,bridge,bridge 796,20.8688604,92.2982219,0.05
N1,1001335,bridge,bridge 797,20.8650278,92.2982497,0.428
N1,1001336,bridge,bridge 798,20.8646667,92.2981941,0.042
N1,1001337,link,link 539,20.8629722,92.298083,0.178
N1,1001338,sink,sink 1,20.8629167,92.298083,0.13
