Scenario,Replication,Seed,tick,travel_time,phase
2,1,123,139,98,pre_flood
2,1,123,139,68,pre_flood
2,1,123,139,58,pre_flood
2,1,123,139,51,pre_flood
2,1,123,139,27,pre_flood
2,1,123,139,11,pre_flood
2,1,123,140,134,pre_flood
2,1,123,140,110,pre_flood
2,1,123,140,105,pre_flood
2,1,123,140,105,pre_flood
2,1,123,140,68,pre_flood
2,1,123,140,61,pre_flood
2,1,123,140,58,pre_flood
2,1,123,140,46,pre_flood
2,1,123,140,40,pre_flood
2,1,123,140,11,pre_flood
2,1,123,141,109,pre_flood
2,1,123,141,72,pre_flood
2,1,123,141,61,pre_flood
2,1,123,141,58,pre_flood
2,1,123,141,57,pre_flood
2,1,123,141,51,pre_flood
2,1,123,141,11,pre_flood
2,1,123,142,105,pre_flood
2,1,123,142,68,pre_flood
2,1,123,142,58,pre_flood
2,1,123,142,51,pre_flood
2,1,123,142,41,pre_flood
2,1,123,142,40,pre_flood
2,1,123,143,143,pre_flood
2,1,123,143,134,pre_flood
2,1,123,143,131,pre_flood
2,1,123,143,98,pre_flood
2,1,123,143,89,pre_flood
2,1,123,143,67,pre_flood
2,1,123,143,61,pre_flood
2,1,123,143,58,pre_flood
2,1,123,143,51,pre_flood
2,1,123,143,51,pre_flood
2,1,123,143,35,pre_flood
2,1,123,143,25,pre_flood
2,1,123,144,143,pre_flood
2,1,123,144,130,pre_flood
2,1,123,144,105,pre_flood
2,1,123,144,67,pre_flood
2,1,123,144,61,pre_flood
2,1,123,144,58,pre_flood
2,1,123,144,51,pre_flood
2,1,123,144,40,pre_flood
2,1,123,144,15,pre_flood
2,1,123,145,144,pre_flood
2,1,123,145,131,pre_flood
2,1,123,145,89,pre_flood
2,1,123,145,68,pre_flood
2,1,123,145,67,pre_flood
2,1,123,145,65,pre_flood
2,1,123,145,61,pre_flood
2,1,123,145,61,pre_flood
2,1,123,145,58,pre_flood
2,1,123,145,52,pre_flood
2,1,123,145,51,pre_flood
2,1,123,145,21,pre_flood
2,1,123,145,11,pre_flood
2,1,123,146,143,pre_flood
2,1,123,146,105,pre_flood
2,1,123,146,105,pre_flood
2,1,123,146,67,pre_flood
2,1,123,146,58,pre_flood
2,1,123,146,11,pre_flood
2,1,123,147,134,pre_flood
2,1,123,147,105,pre_flood
2,1,123,147,98,pre_flood
2,1,123,147,72,pre_flood
2,1,123,147,68,pre_flood
2,1,123,147,67,pre_flood
2,1,123,147,65,pre_flood
2,1,123,147,58,pre_flood
2,1,123,147,45,pre_flood
2,1,123,147,35,pre_flood
2,1,123,147,11,pre_flood
2,1,123,148,148,pre_flood
2,1,123,148,144,pre_flood
2,1,123,148,129,pre_flood
2,1,123,148,105,pre_flood
2,1,123,148,105,pre_flood
2,1,123,148,98,pre_flood
2,1,123,148,67,pre_flood
2,1,123,148,61,pre_flood
2,1,123,148,58,pre_flood
2,1,123,148,38,pre_flood
2,1,123,148,26,pre_flood
2,1,123,148,11,pre_flood
2,1,123,148,11,pre_flood
2,1,123,149,143,pre_flood
2,1,123,149,134,pre_flood
2,1,123,149,106,pre_flood
2,1,123,149,89,pre_flood
2,1,123,149,89,pre_flood
2,1,123,149,68,pre_flood
2,1,123,149,61,pre_flood
