Scenario,Replication,Seed,agent_id,agent_type,name,road,condition,is_broken,broke_during_flood,total_vehicles_passed,length
2,2,456,1000922,Bridge,bridge 248,N1,A,True,True,6440,13.0
2,2,456,1000923,Link,,N1,,,,1706,568.385
2,2,456,1000925,Bridge,bridge 249,N1,A,True,True,6437,9.2
2,2,456,1000926,Link,,N1,,,,8264,954.924
2,2,456,1000930,Bridge,bridge 250,N1,C,False,False,1434,136.3
2,2,456,1000931,Link,,N1,,,,274,482.81399999999996
2,2,456,1000933,Bridge,bridge 251,N1,C,False,False,0,4.5
2,2,456,1000934,Bridge,bridge 252,N1,C,True,True,6475,11.3
2,2,456,1000935,Link,,N1,,,,1709,454.447
2,2,456,1000938,Bridge,bridge 253,N1,C,True,True,6474,2.4
2,2,456,1000939,Bridge,bridge 254,N1,B,False,False,0,7.2
2,2,456,1000940,Bridge,bridge 255,N1,C,True,True,6486,8.1
2,2,456,1000941,Link,,N1,,,,4704,204.765
2,2,456,1000942,Bridge,bridge 256,N1,A,False,False,0,10.9
2,2,456,1000943,Link,,N1,,,,8307,767.3389999999999
2,2,456,1000945,Bridge,bridge 257,N1,B,False,False,0,2.2
2,2,456,1000946,Link,,N1,,,,3601,659.094
2,2,456,1000947,Bridge,bridge 258,N1,A,False,False,0,3.0
2,2,456,1000948,Bridge,bridge 259,N1,A,False,False,0,2.8
2,2,456,1000949,Bridge,bridge 260,N1,D,True,True,6513,10.0
2,2,456,1000950,Link,,N1,,,,124,262.551
2,2,456,1000952,Bridge,bridge 261,N1,A,False,False,0,1.6
2,2,456,1000953,Bridge,bridge 262,N1,A,False,False,0,3.6
2,2,456,1000954,Bridge,bridge 263,N1,C,True,True,6505,8.0
2,2,456,1000955,Link,,N1,,,,1504,266.301
2,2,456,1000956,Bridge,bridge 264,N1,A,False,False,0,8.3
2,2,456,1000957,Bridge,bridge 265,N1,C,True,True,6591,22.0
2,2,456,1000958,Link,,N1,,,,149,250.441
2,2,456,1000959,Bridge,bridge 266,N1,C,True,True,6533,2.7
2,2,456,1000960,Bridge,bridge 267,N1,B,False,False,0,2.7
2,2,456,1000961,Bridge,bridge 268,N1,C,False,False,0,2.9
2,2,456,1000962,Bridge,bridge 269,N1,C,True,True,6555,1.8
2,2,456,1000963,Link,,N1,,,,55,101.638
2,2,456,1000964,Bridge,bridge 270,N1,A,False,False,0,0.8
2,2,456,1000965,Bridge,bridge 271,N1,B,False,False,0,1.5
2,2,456,1000966,Bridge,bridge 272,N1,A,False,False,0,1.5
2,2,456,1000967,Link,,N1,,,,0,10.603
2,2,456,1000968,Bridge,bridge 273,N1,A,False,False,0,1.3
2,2,456,1000969,Bridge,bridge 274,N1,A,False,False,0,1.3
2,2,456,1000970,Link,,N1,,,,193,340.96
2,2,456,1000971,Bridge,bridge 275,N1,A,False,False,0,1.3
2,2,456,1000972,Bridge,bridge 276,N1,B,True,True,6564,1.3
2,2,456,1000973,Bridge,bridge 277,N1,C,False,False,0,7.1
2,2,456,1000974,Link,,N1,,,,1439,132.046
2,2,456,1000975,Bridge,bridge 278,N1,A,False,False,74,2.5
2,2,456,1000976,Bridge,bridge 279,N1,A,False,False,0,1.3
2,2,456,1000977,Bridge,bridge 280,N1,C,False,False,0,2.2
2,2,456,1000978,Bridge,bridge 281,N1,A,False,False,0,4.0
2,2,456,1000979,Link,,N1,,,,75,212.482
2,2,456,1000981,Bridge,bridge 282,N1,C,False,False,0,21.5
2,2,456,1000982,Link,,N1,,,,248,287.742
2,2,456,1000983,Bridge,bridge 283,N1,C,True,True,6593,11.3
2,2,456,1000984,Link,,N1,,,,6211,165.251
2,2,456,1000985,Bridge,bridge 284,N1,A,False,False,0,14.1
2,2,456,1000986,Link,,N1,,,,207,176.808
2,2,456,1000987,Bridge,bridge 285,N1,B,False,False,0,2.3
2,2,456,1000988,Link,,N1,,,,124,332.11
2,2,456,1000989,Bridge,bridge 286,N1,C,False,False,0,24.1
2,2,456,1000990,Link,,N1,,,,8425,909.5799999999999
2,2,456,1000995,Bridge,bridge 287,N1,C,True,True,6619,45.6
2,2,456,1000996,Link,,N1,,,,6508,472.657
2,2,456,1000997,Bridge,bridge 288,N1,C,False,False,0,5.0
2,2,456,1000998,Link,,N1,,,,0,67.358
2,2,456,1000999,Bridge,bridge 289,N1,D,False,False,0,11.2
2,2,456,1001000,Link,,N1,,,,193,171.98
2,2,456,1001001,Bridge,bridge 290,N1,B,False,False,0,1.3
2,2,456,1001002,Link,,N1,,,,1740,71.565
2,2,456,1001003,Bridge,bridge 291,N1,C,False,False,0,49.3
2,2,456,1001004,Link,,N1,,,,1592,349.98699999999997
2,2,456,1001007,Bridge,bridge 292,N1,B,False,False,0,2.4
2,2,456,1001008,Link,,N1,,,,8444,837.0160000000001
2,2,456,1001016,Bridge,bridge 293,N1,C,True,True,6616,2.3
2,2,456,1001017,Bridge,bridge 294,N1,D,True,True,6676,61.3
